"User Story: As a customer, I want to message my driver securely during a delivery.","Maps to UC-19","User Story"
"Epic 8: Onboarding & Registration","User sign-up, role selection, verification flow.","Epic"
"Feature: Role-Based Signup Flow","Users choose their intended platform role.","Feature"
"User Story: As a new user, I want to select my role (Customer, Driver, Store Clerk) when signing up.","Maps to UC-Register-Authenticate","User Story"
"Feature: Progressive Profile Setup","Split onboarding into manageable steps.","Feature"
"User Story: As a Driver, I want to complete onboarding in steps to avoid long forms.","Maps to UC-24","User Story"
"Epic 9: Store Job Scheduling","Store clerks can schedule and manage deliveries.","Epic"
"Feature: Schedule Delivery Window","Stores specify when delivery occurs.","Feature"
"User Story: As a store clerk, I want to select a delivery time slot for each job.","Maps to UC-01 (extended)","User Story"
"Feature: Multi-Job Management","Support managing multiple active or future jobs.","Feature"
"User Story: As a store clerk, I want to view and edit upcoming delivery jobs.","Maps to UC-05, UC-66","User Story"
"Epic 10: Geolocation & Routing","Driver tracking, route optimization, delay detection.","Epic"
"Feature: Live Driver Tracking","Map-based real-time tracking for customers.","Feature"
"User Story: As a customer, I want to see my driver moving on the map in real time.","Maps to UC-02","User Story"
"Feature: Route Optimization","Suggest optimal route to drivers.","Feature"
"User Story: As a driver, I want the app to suggest the best route considering traffic and delivery windows.","Maps to UC-09","User Story"
"Epic 11: Admin & Escalation","Tools for administrators to resolve disputes, configure system rules, and moderate feedback.","Epic"
"Feature: Dispute & Complaint Resolution","Handle delivery disputes and complaints.","Feature"
"User Story: As an admin, I want to view and resolve delivery disputes with audit logs.","Maps to UC-20","User Story"
